DiaMesAno,HoraMinutosSegundos,Longitude,Latitude,Velocidade,Altitude,Satelites,AccX,AccY
14/01/2016,19-23-24,0,0,0,0,0,0.2,-0.01
14/01/2016,19-23-24,0,0,0,0,0,0.21,0.02
14/01/2016,19-23-24,0,0,0,0,0,0.21,0.02
14/01/2016,19-23-26,0,0,0,0,0,0.21,0.02
14/01/2016,19-23-26,0,0,0,0,0,0.2,0.02
14/01/2016,19-23-26,0,0,0,0,0,0.2,-0.01
14/01/2016,19-23-26,0,0,0,0,0,0.22,0.03
14/01/2016,19-23-26,0,0,0,0,0,0.23,0.03
14/01/2016,19-23-26,0,0,0,0,0,0.2,0
14/01/2016,19-23-26,0,0,0,0,0,0.21,0.02
14/01/2016,19-23-26,0,0,0,0,0,0.18,0.02
14/01/2016,19-23-26,0,0,0,0,0,0.21,0.01
14/01/2016,19-23-26,0,0,0,0,0,0.14,0
14/01/2016,19-23-26,0,0,0,0,0,0.21,0.05
14/01/2016,19-23-26,0,0,0,0,0,0.19,0.02
14/01/2016,19-23-26,0,0,0,0,0,0.15,-0.01
14/01/2016,19-23-26,0,0,0,0,0,0.21,0.03
14/01/2016,19-23-26,0,0,0,0,0,0.14,-0.03
14/01/2016,19-23-26,0,0,0,0,0,0.21,-0.02
14/01/2016,19-23-26,0,0,0,0,0,0.18,0.02
14/01/2016,19-23-26,0,0,0,0,0,0.16,0.04
14/01/2016,19-23-26,0,0,0,0,0,0.14,-0.02
14/01/2016,19-23-26,0,0,0,0,0,0.16,0.1
14/01/2016,19-23-28,0,0,0,0,0,0.14,-0.02
14/01/2016,19-23-28,0,0,0,0,0,0.13,-0.03
14/01/2016,19-23-28,0,0,0,0,0,0.1,0.07
14/01/2016,19-23-28,0,0,0,0,0,0.07,-0.06
14/01/2016,19-23-28,0,0,0,0,0,0.11,0.05
14/01/2016,19-23-28,0,0,0,0,0,0.04,0.14
14/01/2016,19-23-28,0,0,0,0,0,0.1,-0.08
14/01/2016,19-23-28,0,0,0,0,0,0.03,-0.08
14/01/2016,19-23-28,0,0,0,0,0,0.02,0.13
14/01/2016,19-23-28,0,0,0,0,0,0.07,0.05
14/01/2016,19-23-29,0,0,0,0,0,0.13,-0.11
14/01/2016,19-23-29,0,0,0,0,0,0.07,0.06
14/01/2016,19-23-29,0,0,0,0,0,-0.04,0.16
14/01/2016,19-23-29,0,0,0,0,0,0.02,0.14
14/01/2016,19-23-29,0,0,0,0,0,0.02,-0.03
14/01/2016,19-23-29,0,0,0,0,0,0.02,-0.02
14/01/2016,19-23-29,0,0,0,0,0,0.13,-0.03
14/01/2016,19-23-29,0,0,0,0,0,0.12,0.13
14/01/2016,19-23-29,0,0,0,0,0,0.12,-0.09
14/01/2016,19-23-29,0,0,0,0,0,0.33,0.09
14/01/2016,19-23-29,0,0,0,0,0,0.23,-0.21
14/01/2016,19-23-29,0,0,0,0,0,0.1,0.11
14/01/2016,19-23-29,0,0,0,0,0,0.11,-0.04
14/01/2016,19-23-29,0,0,0,0,0,0.3,-0.08
14/01/2016,19-23-29,0,0,0,0,0,0.15,-0.23
14/01/2016,19-23-29,0,0,0,0,0,0.06,-0.05
14/01/2016,19-23-29,0,0,0,0,0,0.39,-0.08
14/01/2016,19-23-29,0,0,0,0,0,0.11,0.13
14/01/2016,19-23-29,0,0,0,0,0,0.71,-0.15
14/01/2016,19-23-32,0,0,0,0,0,0.23,0.04
14/01/2016,19-23-32,0,0,0,0,0,0.33,0.14
14/01/2016,19-23-32,0,0,0,0,0,0.44,0.2
14/01/2016,19-23-32,0,0,0,0,0,0.48,0.2
14/01/2016,19-23-32,0,0,0,0,0,-0.05,-0.28
14/01/2016,19-23-32,0,0,0,0,0,0.05,-0.02
14/01/2016,19-23-32,0,0,0,0,0,-0.03,-0.04
14/01/2016,19-23-32,0,0,0,0,0,0.35,-0.08
